type,info,id
SSN,778-62-8144,0
SSN,030 72 7381,0
SSN,70906649,0
SSN,16325404,0
SSN,757-85-7495,0
SSN,149-13-7317,0
SSN,909-03-4642,0
SSN,401318448,0
SSN,003 06 8815,0
SSN,790714615,0
SSN,805 14 1893,0
SSN,338031274,0
SSN,373425778,0
SSN,781-70-8498,0
SSN,749 25 3016,0
SSN,789-21-8631,0
SSN,182-73-1694,0
SSN,303-81-0470,0
SSN,758 13 4820,0
SSN,554410938,0
SSN,270 34 7884,0
SSN,389-86-6919,0
SSN,805-74-0240,0
SSN,985 69 5114,0
SSN,675376852,0
SSN,92385358,0
SSN,805-07-0576,0
SSN,054-14-2964,0
SSN,113-85-9381,0
SSN,121380249,0
SSN,167-19-2705,0
SSN,393-76-1361,0
SSN,426 77 1465,0
SSN,356-14-5193,0
SSN,974 23 5915,0
SSN,535-18-0426,0
SSN,491580488,0
SSN,686756477,0
SSN,355-02-7481,0
SSN,748-77-6018,0
SSN,701 39 4563,0
SSN,357-50-5755,0
SSN,874 30 8004,0
SSN,424 08 3008,0
SSN,111-69-8921,0
SSN,737 52 3646,0
SSN,169-28-1513,0
SSN,903 41 8442,0
SSN,782008416,0
SSN,779-25-1494,0
SSN,957 40 0389,0
SSN,693-88-0982,0
SSN,22363918,0
SSN,946419185,0
SSN,837-19-3842,0
SSN,864-23-8071,0
SSN,217 01 6193,0
SSN,769 53 7558,0
SSN,642 86 9167,0
SSN,542-50-9281,0
SSN,058 89 1259,0
SSN,528-55-0602,0
SSN,961 90 6882,0
SSN,495-00-2870,0
SSN,516 52 6439,0
SSN,089-95-2067,0
SSN,099-52-2802,0
SSN,028-71-7779,0
SSN,726 33 5471,0
SSN,788 21 0177,0
SSN,458950282,0
SSN,98377945,0
SSN,633-70-2532,0
SSN,713 76 2879,0
SSN,301627889,0
SSN,678 64 4989,0
SSN,001-14-2521,0
SSN,359-03-9546,0
SSN,078 07 9232,0
SSN,684 46 2130,0
SSN,312 75 2332,0
SSN,742198079,0
SSN,882 74 9062,0
SSN,229-97-7831,0
SSN,030-96-2007,0
SSN,316 20 1718,0
SSN,042-14-1069,0
SSN,828 70 3471,0
SSN,529735020,0
SSN,113 70 1432,0
SSN,060-09-4578,0
SSN,959-93-1430,0
SSN,086 47 3551,0
SSN,106-95-0469,0
SSN,142421107,0
SSN,974-55-0135,0
SSN,191 07 3733,0
SSN,442-77-5880,0
SSN,82131868,0
SSN,851-48-4165,0
SSN,381-06-1296,0
SSN,946-79-9278,0
SSN,079-76-1445,0
SSN,464-42-7555,0
SSN,240 94 6011,0
SSN,764-89-0110,0
SSN,621390941,0
SSN,563 08 3936,0
SSN,126-84-5100,0
SSN,149 06 9832,0
SSN,971-41-7040,0
SSN,129-47-3345,0
SSN,763-81-7843,0
SSN,154-11-4723,0
SSN,092 39 4878,0
SSN,931-10-5499,0
SSN,431690665,0
SSN,585-47-2136,0
SSN,737-20-6065,0
SSN,173-11-2014,0
SSN,345-39-2010,0
SSN,800294985,0
SSN,316 19 4759,0
SSN,663-90-1907,0
SSN,056 38 6733,0
SSN,927-81-3532,0
SSN,071-04-1044,0
SSN,398-22-2305,0
SSN,922-60-6670,0
SSN,178 45 8095,0
SSN,277-06-2642,0
SSN,317-19-0104,0
SSN,549-42-6330,0
SSN,224-90-4475,0
SSN,695 50 0911,0
SSN,180-43-1610,0
SSN,847-93-9502,0
SSN,093-18-5162,0
SSN,503-02-6200,0
SSN,523-22-7123,0
SSN,256-70-6017,0
SSN,158-57-7524,0
SSN,675-03-6467,0
SSN,606-39-0483,0
SSN,002-59-9246,0
SSN,707 48 2465,0
SSN,786-57-7145,0
SSN,526-53-3387,0
SSN,488-33-9378,0
SSN,262-06-9411,0
SSN,293 19 3101,0
SSN,220 33 5701,0
SSN,676-62-0107,0
SSN,313-03-8480,0
SSN,040-75-8170,0
SSN,356-16-6280,0
SSN,718 13 6191,0
SSN,675-87-6980,0
SSN,787701022,0
SSN,237-60-9776,0
SSN,646-87-7980,0
SSN,446-60-1849,0
SSN,250-00-7610,0
SSN,877-67-0699,0
SSN,057-00-0504,0
SSN,641-31-0776,0
SSN,668-92-8617,0
SSN,827-03-2769,0
SSN,325 04 8029,0
SSN,650520592,0
SSN,107-81-5172,0
SSN,827-65-6880,0
SSN,347-55-4563,0
SSN,841683946,0
SSN,363-65-1135,0
SSN,182 31 7580,0
SSN,419-56-1339,0
SSN,676321349,0
SSN,055-26-5589,0
SSN,451-81-8832,0
SSN,449-61-5230,0
SSN,411-46-9277,0
SSN,746073353,0
SSN,502-42-5955,0
SSN,522-10-8731,0
SSN,383 02 7668,0
SSN,93638324,0
SSN,304-76-6334,0
SSN,345-23-7666,0
SSN,377 84 1214,0
SSN,571-71-0286,0
SSN,620-56-6636,0
SSN,491 02 5177,0
SSN,611-39-2152,0
SSN,411 18 0871,0
SSN,472-65-1552,0
SSN,117 86 3714,0
SSN,920049104,0
SSN,869-79-1470,0
SSN,414-44-3190,0
SSN,911572252,0
SSN,458-92-0258,0
SSN,216-05-3219,0
SSN,112 67 3681,0
SSN,817515215,0
SSN,017-76-4258,0
SSN,959-75-6410,0
SSN,599278828,0
SSN,788-85-9060,0
SSN,633-28-4210,0
SSN,504293456,0
SSN,325-77-3206,0
SSN,788928225,0
SSN,26774684,0
SSN,515 23 9351,0
SSN,554-09-4107,0
SSN,264 10 6620,0
SSN,459612303,0
SSN,451-98-1854,0
SSN,351-03-5266,0
SSN,600 41 5631,0
SSN,043-07-6518,0
SSN,49705801,0
SSN,003-53-0038,0
SSN,123-70-0604,0
SSN,614118864,0
SSN,778-30-1004,0
SSN,601-87-0731,0
SSN,789-56-1509,0
SSN,600 59 1145,0
SSN,671 51 6659,0
SSN,151248803,0
SSN,468-06-8602,0
SSN,425-79-2145,0
SSN,605-81-3269,0
SSN,783-35-7601,0
SSN,291-54-0945,0
SSN,337-83-8358,0
SSN,372-44-9095,0
SSN,977 91 1039,0
SSN,276 37 0107,0
SSN,34189831,0
SSN,774-74-0548,0
SSN,810-78-3542,0
SSN,318-09-9172,0
SSN,682 99 3675,0
SSN,974-93-7153,0
SSN,721-45-7158,0
SSN,363-70-9361,0
SSN,890-72-3470,0
SSN,881419223,0
SSN,950-99-3494,0
SSN,220-76-7515,0
SSN,244-05-1268,0
SSN,553-53-6370,0
SSN,863-17-9679,0
SSN,906-27-3216,0
SSN,526-78-8784,0
SSN,911-82-5670,0
SSN,357214808,0
SSN,538042815,0
SSN,769 51 8177,0
SSN,267108870,0
SSN,846-71-0053,0
SSN,557 67 1547,0
SSN,560-73-1667,0
SSN,841 06 8793,0
SSN,908-88-5498,0
SSN,006-94-3426,0
SSN,609-82-3292,0
SSN,328378593,0
SSN,525 11 9100,0
SSN,852752418,0
SSN,734 26 9611,0
SSN,517-49-4574,0
SSN,83654832,0
SSN,600-83-0643,0
SSN,761-12-0238,0
SSN,603-20-0408,0
SSN,322 27 1988,0
SSN,395896483,0
SSN,80853502,0
SSN,072 36 3049,0
SSN,438-84-2852,0
SSN,751-67-9417,0
SSN,552-90-3600,0
SSN,204-60-8143,0
SSN,687 55 6557,0
SSN,879-02-8012,0
SSN,829 53 7947,0
SSN,394-71-6147,0
SSN,193-95-8411,0
SSN,464 21 3161,0
SSN,960-38-7872,0
SSN,671-51-9797,0
SSN,843 92 5773,0
SSN,607282881,0
SSN,11069610,0
SSN,710277483,0
SSN,945 06 4564,0
SSN,954 72 0205,0
SSN,609-37-4979,0
SSN,118-03-8417,0
SSN,171 79 3018,0
SSN,662535636,0
SSN,030-36-8560,0
SSN,761 63 6386,0
SSN,356 52 8654,0
SSN,574-60-6196,0
SSN,638214375,0
SSN,418621716,0
SSN,731-25-8093,0
SSN,622 10 1220,0
SSN,748-47-6736,0
SSN,141-75-4454,0
SSN,822-45-1142,0
SSN,948-17-5684,0
SSN,567-76-5295,0
SSN,142-27-4745,0
SSN,133456290,0
SSN,417822186,0
SSN,319-33-2019,0
SSN,347-90-5677,0
SSN,910-64-6605,0
SSN,604-20-2721,0
SSN,950-90-9958,0
SSN,684-89-6832,0
SSN,342 86 2336,0
SSN,710-95-0062,0
SSN,168516708,0
SSN,363-78-4900,0
SSN,224-02-1630,0
SSN,462-26-3900,0
SSN,422 58 2333,0
SSN,421997210,0
SSN,210061576,0
SSN,763-02-2029,0
SSN,055 10 3288,0
SSN,432-10-3167,0
SSN,784 49 7137,0
SSN,070-97-7566,0
SSN,067-53-0438,0
SSN,761-13-3975,0
SSN,431-64-7786,0
SSN,785-11-6579,0
SSN,400-13-1541,0
SSN,559-54-0931,0
SSN,238 09 8948,0
SSN,72080716,0
SSN,148-13-2694,0
SSN,498-67-4358,0
SSN,054-49-3703,0
SSN,404-23-1572,0
SSN,794 90 9007,0
SSN,915684828,0
SSN,627701119,0
SSN,832 35 7853,0
SSN,462-62-3594,0
SSN,054 04 8913,0
SSN,708395096,0
SSN,475 18 2320,0
SSN,418832860,0
SSN,327-07-2154,0
SSN,032-27-2481,0
SSN,933073173,0
SSN,045-92-4063,0
SSN,558 51 2014,0
SSN,500-56-0085,0
SSN,117-31-6218,0
SSN,066 18 2759,0
SSN,228-16-0604,0
SSN,592-09-5401,0
SSN,596 91 1501,0
SSN,039-28-9698,0
SSN,583-51-4718,0
SSN,100-98-7828,0
SSN,976-45-3085,0
SSN,553-81-9123,0
SSN,995-54-5053,0
SSN,054 54 7670,0
SSN,167810273,0
SSN,007 14 2789,0
SSN,878709679,0
SSN,307 43 9063,0
SSN,670-68-4545,0
SSN,689-10-4833,0
SSN,724-44-4280,0
SSN,442 09 7319,0
SSN,041-83-5231,0
SSN,166-64-1904,0
SSN,102 95 4445,0
SSN,802-58-6517,0
SSN,571185293,0
SSN,221-79-2294,0
SSN,019-90-4546,0
SSN,066-36-5454,0
SSN,732-77-4076,0
SSN,908-97-8508,0
SSN,409594900,0
SSN,170-39-5932,0
SSN,291-18-5747,0
SSN,788889344,0
SSN,411-01-5215,0
SSN,602203821,0
SSN,597-59-1907,0
SSN,089-92-9643,0
SSN,436-57-4447,0
SSN,102-31-4845,0
SSN,310-31-6006,0
SSN,999-63-5578,0
SSN,5106503,0
SSN,551-42-9419,0
SSN,778 31 1106,0
SSN,212550571,0
SSN,704-85-7128,0
SSN,631-28-5851,0
SSN,979-21-9439,0
SSN,322 84 2745,0
SSN,362-85-5311,0
SSN,580625321,0
SSN,701-33-5976,0
SSN,591-78-9046,0
SSN,81178409,0
SSN,627-20-3611,0
SSN,708-90-6135,0
SSN,755-81-0259,0
SSN,162-64-1581,0
SSN,832-72-1671,0
SSN,740-39-7665,0
SSN,147 15 6466,0
SSN,806-16-0436,0
SSN,030 01 2292,0
SSN,217-42-9108,0
SSN,861372482,0
SSN,230803837,0
SSN,361 74 5997,0
SSN,941-98-2491,0
SSN,294-14-2018,0
SSN,800-90-9393,0
SSN,169426187,0
SSN,241 99 5499,0
SSN,925-63-6705,0
SSN,384-70-9458,0
SSN,196-99-1520,0
SSN,280-76-7778,0
SSN,474-40-1172,0
SSN,547-29-1282,0
SSN,703-64-0123,0
SSN,353-62-0841,0
SSN,668085190,0
SSN,844-26-8067,0
SSN,602-21-3156,0
SSN,773-34-3473,0
SSN,220-31-4175,0
SSN,200061149,0
SSN,732-21-5861,0
SSN,735 06 8963,0
SSN,106-89-5797,0
SSN,714406118,0
SSN,522-53-9565,0
SSN,753718768,0
SSN,504803566,0
SSN,847782649,0
SSN,626-77-3126,0
SSN,510-11-1095,0
SSN,110-14-4987,0
SSN,742-65-1447,0
SSN,128 15 8246,0
SSN,592 54 7467,0
SSN,424-62-6063,0
SSN,479 95 6799,0
SSN,883-09-3339,0
SSN,976-00-8462,0
SSN,543 72 3063,0
SSN,886955560,0
SSN,616-12-6402,0
SSN,428 73 2810,0
SSN,54660829,0
SSN,562062828,0
SSN,777 21 1924,0
SSN,521 24 0680,0
SSN,782-71-5117,0
SSN,717-37-0495,0
SSN,209572294,0
SSN,437-62-4772,0
SSN,265-35-8827,0
SSN,526-58-9116,0
SSN,885 20 5078,0
SSN,217-29-3465,0
SSN,291-98-1719,0
SSN,205-18-8035,0
SSN,894 18 5590,0
SSN,252 93 5923,0
SSN,952 63 6377,0
SSN,523277710,0
SSN,394-70-3947,0
SSN,135-09-8234,0
SSN,587908817,0
SSN,176-53-1125,0
